//  ________________________________________________________
// /                                                        \
// |       _           _   _   _                            |
// |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
// |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
// |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
// |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
// |                                                        |
// |                    brAthena Script                     |
// |--------------------------------------------------------|
// | Nome do Script: Turbo Track Modo Normal - 16 Pessoas   |
// |--------------------------------------------------------|
// | Criado por: eA/brA Dev. Team                           |
// |--------------------------------------------------------|
// | Versões eA/brA: 1.5/1.1                                |
// |--------------------------------------------------------|
// | Descrição:                                             |
// | Percurso da Turbo Track: Modo Normal - 16 Pessoas      |
// |--------------------------------------------------------|
// | Changelog:                                             |
// | 1.0 Script Traduzido [Boomer]                          |
// | 1.1 Script Otimizado [Mark]    	                    |
// | - Anotações                                            |
// \________________________________________________________/

turbo_room,91,135,3	duplicate(ChatTrack)	Modo Normal - 16 Pess	124
turbo_n_16,298,167,3	duplicate(AuxiliarTrack)	Auxiliar#n16_F	124
turbo_n_16,298,167,0	duplicate(AuxiliarPont)	Auxiliar de Pontuação#n16	-1,15,15
turbo_n_16,167,3,0	duplicate(BroadcastTrack)	Broadcast#n16	-1
turbo_n_16,167,3,0	duplicate(MasterTrack)	Master#n16	-1
turbo_n_16,62,379,0	duplicate(nounfTrack)	No_Unfair_Start#n16-1	-1,0,31
turbo_n_16,68,379,5	duplicate(nounfTrack)	No_Unfair_Start#n16-2	-1,5,31

// Turbo Track: (Log Race)
turbo_n_16,118,377,0	duplicate(TurboLogRace)	trap_a#n_16-1	-1,44,1,
turbo_n_16,77,375,0	duplicate(TurboLogRace)	trap_a#n_16-2	-1,3,1
turbo_n_16,82,375,0	duplicate(TurboLogRace)	trap_a#n_16-3	-1,1,1
turbo_n_16,82,372,0	duplicate(TurboLogRace)	trap_a#n_16-4	-1,0,2
turbo_n_16,83,372,0	duplicate(TurboLogRace)	trap_a#n_16-5	-1,0,2
turbo_n_16,97,374,0	duplicate(TurboLogRace)	trap_a#n_16-6	-1,1,2
turbo_n_16,98,374,0	duplicate(TurboLogRace)	trap_a#n_16-7	-1,1,2
turbo_n_16,122,372,0	duplicate(TurboLogRace)	trap_a#n_16-8	-1,2,4
turbo_n_16,125,374,0	duplicate(TurboLogRace)	trap_a#n_16-9	-1,0,4
turbo_n_16,132,374,0	duplicate(TurboLogRace)	trap_a#n_16-10	-1,7,2
turbo_n_16,156,374,0	duplicate(TurboLogRace)	trap_a#n_16-11	-1,6,2
turbo_n_16,163,375,0	duplicate(TurboLogRace)	trap_a#n_16-12	-1,0,3
turbo_n_16,164,377,0	duplicate(TurboLogRace)	trap_a#n_16-13	-1,1,1
// second line
turbo_n_16,76,369,0	duplicate(TurboLogRace)	trap_b#n_16-1	-1,2,2
turbo_n_16,79,369,0	duplicate(TurboLogRace)	trap_b#n_16-2	-1,0,2
turbo_n_16,77,366,0	duplicate(TurboLogRace)	trap_b#n_16-3	-1,3,0
turbo_n_16,85,366,0	duplicate(TurboLogRace)	trap_b#n_16-4	-1,5,1
turbo_n_16,87,363,0	duplicate(TurboLogRace)	trap_b#n_16-5	-1,2,1
turbo_n_16,88,368,0	duplicate(TurboLogRace)	trap_b#n_16-6	-1,2,5
turbo_n_16,92,370,0	duplicate(TurboLogRace)	trap_b#n_16-7	-1,1,3
turbo_n_16,98,368,0	duplicate(TurboLogRace)	trap_b#n_16-8	-1,4,1
turbo_n_16,109,371,0	duplicate(TurboLogRace)	trap_b#n_16-9	-1,7,2
turbo_n_16,110,368,0	duplicate(TurboLogRace)	trap_b#n_16-10	-1,7,0
turbo_n_16,113,366,0	duplicate(TurboLogRace)	trap_b#n_16-11	-1,3,2
turbo_n_16,117,368,0	duplicate(TurboLogRace)	trap_b#n_16-12	-1,0,5
turbo_n_16,123,364,0	duplicate(TurboLogRace)	trap_b#n_16-13	-1,6,1
turbo_n_16,136,368,0	duplicate(TurboLogRace)	trap_b#n_16-14	-1,8,1
turbo_n_16,136,366,0	duplicate(TurboLogRace)	trap_b#n_16-15	-1,8,0
turbo_n_16,144,370,0	duplicate(TurboLogRace)	trap_b#n_16-16	-1,2,3
turbo_n_16,147,370,0	duplicate(TurboLogRace)	trap_b#n_16-17	-1,0,3
turbo_n_16,155,369,0	duplicate(TurboLogRace)	trap_b#n_16-18	-1,7,0
turbo_n_16,155,368,0	duplicate(TurboLogRace)	trap_b#n_16-19	-1,7,0
turbo_n_16,151,367,0	duplicate(TurboLogRace)	trap_b#n_16-20	-1,3,0
turbo_n_16,153,366,0	duplicate(TurboLogRace)	trap_b#n_16-21	-1,1,0
turbo_n_16,155,367,0	duplicate(TurboLogRace)	trap_b#n_16-22	-1,0,1
//third line
turbo_n_16,78,362,0	duplicate(TurboLogRace)	trap_c#n_16-1	-1,4,1
turbo_n_16,78,359,0	duplicate(TurboLogRace)	trap_c#n_16-2	-1,4,1
turbo_n_16,83,362,0	duplicate(TurboLogRace)	trap_c#n_16-3	-1,0,1
turbo_n_16,88,359,0	duplicate(TurboLogRace)	trap_c#n_16-4	-1,5,1
turbo_n_16,89,357,0	duplicate(TurboLogRace)	trap_c#n_16-5	-1,1,1
turbo_n_16,92,390,0	duplicate(TurboLogRace)	trap_c#n_16-6	-1,1,1
turbo_n_16,92,357,0	duplicate(TurboLogRace)	trap_c#n_16-7	-1,1,1
turbo_n_16,98,364,0	duplicate(TurboLogRace)	trap_c#n_16-8	-1,6,1
turbo_n_16,98,362,0	duplicate(TurboLogRace)	trap_c#n_16-9	-1,6,0
turbo_n_16,106,364,0	duplicate(TurboLogRace)	trap_c#n_16-10	-1,2,2
turbo_n_16,107,360,0	duplicate(TurboLogRace)	trap_c#n_16-11	-1,1,2
turbo_n_16,109,360,0	duplicate(TurboLogRace)	trap_c#n_16-12	-1,0,2
turbo_n_16,112,361,0	duplicate(TurboLogRace)	trap_c#n_16-13	-1,3,1
turbo_n_16,116,359,0	duplicate(TurboLogRace)	trap_c#n_16-14	-1,0,2
turbo_n_16,117,359,0	duplicate(TurboLogRace)	trap_c#n_16-15	-1,0,2
turbo_n_16,116,356,0	duplicate(TurboLogRace)	trap_c#n_16-16	-1,0,2
turbo_n_16,117,356,0	duplicate(TurboLogRace)	trap_c#n_16-17	-1,0,2
turbo_n_16,129,360,0	duplicate(TurboLogRace)	trap_c#n_16-18	-1,12,1
turbo_n_16,129,358,0	duplicate(TurboLogRace)	trap_c#n_16-19	-1,12,0
turbo_n_16,132,357,0	duplicate(TurboLogRace)	trap_c#n_16-20	-1,2,1
turbo_n_16,137,357,0	duplicate(TurboLogRace)	trap_c#n_16-21	-1,2,1
turbo_n_16,147,363,0	duplicate(TurboLogRace)	trap_c#n_16-22	-1,16,1
turbo_n_16,149,365,0	duplicate(TurboLogRace)	trap_c#n_16-23	-1,1,0
turbo_n_16,158,362,0	duplicate(TurboLogRace)	trap_c#n_16-24	-1,1,4
turbo_n_16,154,360,0	duplicate(TurboLogRace)	trap_c#n_16-25	-1,2,2
turbo_n_16,161,360,0	duplicate(TurboLogRace)	trap_c#n_16-26	-1,1,2
turbo_n_16,161,365,0	duplicate(TurboLogRace)	trap_c#n_16-27	-1,1,0
turbo_n_16,160,366,0	duplicate(TurboLogRace)	trap_c#n_16-28	-1
//fourth line
turbo_n_16,79,353,0	duplicate(TurboLogRace)	trap_d#n_16-1	-1,5,2
turbo_n_16,85,354,0	duplicate(TurboLogRace)	trap_d#n_16-2	-1,0,1
turbo_n_16,99,353,0	duplicate(TurboLogRace)	trap_d#n_16-3	-1,14,0
turbo_n_16,99,352,0	duplicate(TurboLogRace)	trap_d#n_16-4	-1,14,0
turbo_n_16,99,356,0	duplicate(TurboLogRace)	trap_d#n_16-5	-1,3,3
turbo_n_16,103,356,0	duplicate(TurboLogRace)	trap_d#n_16-6	-1,0,3
turbo_n_16,108,354,0	duplicate(TurboLogRace)	trap_d#n_16-7	-1,5,1
turbo_n_16,112,356,0	duplicate(TurboLogRace)	trap_d#n_16-8	-1,0,1
turbo_n_16,113,356,0	duplicate(TurboLogRace)	trap_d#n_16-9	-1,0,1
turbo_n_16,123,353,0	duplicate(TurboLogRace)	trap_d#n_16-10	-1,3,2
turbo_n_16,127,353,0	duplicate(TurboLogRace)	trap_d#n_16-11	-1,0,2
turbo_n_16,145,352,0	duplicate(TurboLogRace)	trap_d#n_16-12	-1,17,1
turbo_n_16,152,354,0	duplicate(TurboLogRace)	trap_d#n_16-13	-1,10,1
turbo_n_16,145,357,0	duplicate(TurboLogRace)	trap_d#n_16-14	-1,1,2
turbo_n_16,148,357,0	duplicate(TurboLogRace)	trap_d#n_16-15	-1,1,2

// Turbo Track:(Sand Hill)
turbo_n_16,322,354,0	duplicate(TurboSandHill)	#TBT_trap_n16-1	-1,3,3
turbo_n_16,323,360,0	duplicate(TurboSandHill)	#TBT_trap_n16-2	-1,3,3
turbo_n_16,324,365,0	duplicate(TurboSandHill)	#TBT_trap_n16-3	-1,1,1
turbo_n_16,325,370,0	duplicate(TurboSandHill)	#TBT_trap_n16-4	-1,3,3
turbo_n_16,325,375,0	duplicate(TurboSandHill)	#TBT_trap_n16-5	-1,1,1
turbo_n_16,329,377,0	duplicate(TurboSandHill)	#TBT_trap_n16-6	-1,3,3
turbo_n_16,338,372,0	duplicate(TurboSandHill)	#TBT_trap_n16-7	-1,3,3
turbo_n_16,341,364,0	duplicate(TurboSandHill)	#TBT_trap_n16-8	-1,3,3
turbo_n_16,325,359,0	duplicate(TurboSandHill)	#TBT_trap_n16-9	-1,2,2
turbo_n_16,341,355,0	duplicate(TurboSandHill)	#TBT_trap_n16-10	-1,1,1
