//    ________________________________________________________
//   /                                                        \
//   |       _           _   _   _                            |
//   |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
//   |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
//   |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
//   |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
//   |                                                        |
//   |                    brAthena Script                     |
//   |--------------------------------------------------------|
//   | Nome do Script: treasure.txt                           |
//   |--------------------------------------------------------|
//   | Criado por: eA/rA/brA Dev. Team                        |
//   |--------------------------------------------------------|
//   | Versões eA/rA/brA: 1.3/1.3/1.2                         |
//   |--------------------------------------------------------|
//   | Descrição:  Monstros das cavernas de Treasure          |
//   |--------------------------------------------------------|
//   | Changelog:                                             |
//   | 1.0 Criado Cabeçalho [Shiraz]                          |
//   | 1.1 Tradução PT-BR [Holy & Megasantos]                 |
//   | 1.2 Adicionados Monstros OldTimes [Neko]               |
//   |--------------------------------------------------------|
//   | - Anotações                                            |
//   \________________________________________________________/

//==================================================
// [Old Times] treasure01 - Navio Fantasma (1° Andar)
//==================================================
treasure01,0,0,0,0	monster#ot	Poporing	POPORING,5,0,0,1
treasure01,0,0,0,0	monster#ot	Kukre	KUKRE,10,0,0,1
treasure01,0,0,0,0	monster#ot	Plankton	PLANKTON,10,0,0,1
treasure01,106,111,9,9	monster#ot	Sapo Thara	THARA_FROG,2,180000,0,1
treasure01,106,111,9,9	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,180000,0,1
treasure01,107,39,15,15	monster#ot	Hidra	HYDRA,1,180000,0,1
treasure01,107,39,15,15	monster#ot	Esporo Venenoso	POISON_SPORE,3,180000,0,1
treasure01,150,162,5,5	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,150,162,5,5	monster#ot	Esqueleto Pirata	PIRATE_SKEL,1,300000,0,1
treasure01,158,40,0,0	monster#ot	Hidra	HYDRA,1,307000,0,1
treasure01,158,41,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,158,42,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,158,43,0,0	monster#ot	Hidra	HYDRA,1,305000,0,1
treasure01,158,44,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,158,45,0,0	monster#ot	Hidra	HYDRA,1,302000,0,1
treasure01,158,62,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,158,63,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,159,40,0,0	monster#ot	Hidra	HYDRA,1,290000,0,1
treasure01,159,41,0,0	monster#ot	Hidra	HYDRA,1,306000,0,1
treasure01,159,42,0,0	monster#ot	Hidra	HYDRA,1,300000,0,1
treasure01,159,43,0,0	monster#ot	Hidra	HYDRA,1,318000,0,1
