//  _____________________________________________________________
// /                                                             \
// |          _           _   _   _                              |
// |         | |__  _ __ / \ | |_| |__   ___ _ __   __ _         |
// |         | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |        |
// |         | |_) | | / ___ \ |_| | | |  __/ | | | (_| |        |
// |         |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|        |
// |                                                             |
// |                       brAthena Script                       |
// |-------------------------------------------------------------|
// | Nome do Database: mercenary_skill_db.txt                    |
// |-------------------------------------------------------------|
// | Criado por: eA/rA/brA Dev. Team                             |
// |-------------------------------------------------------------|
// | Descrição: Database das Habilidades dos Mercenários.        |
// |-------------------------------------------------------------|
// | Estrutura do Database:                                      |
// | ID do Mercenário,ID da Habilidade, Nível da Habilidade      |
// \_____________________________________________________________/

// Arqueiro Mercenário Level 1-10.
6017,8207,2	  // -> Rajada de Flechas
6017,8233,1	  // -> Instinto de Sobrevivência Automático
// Arqueiro Mercenário Level 10-20.
6018,8208,2	  // -> Chuva de Flechas
6018,8224,1	  // -> Chama Reveladora
// Arqueiro Mercenário Level 20-30.
6019,8214,1	  // -> Carregar Flechas
6019,8223,1	  // -> Rapidez com Arma
// Arqueiro Mercenário Level 30-40.
6020,8237,1	  // -> Propriedades do Monstro
6020,8222,1	  // -> Magnificat
6020,8227,1	  // -> Amolecer
// Arqueiro Mercenário Level 40-50.
6021,8207,5	  // -> Rajada de Flechas
6021,8232,1	  // -> Provocar
6021,8213,1	  // -> Remover Armadilha
// Arqueiro Mercenário Level 50-60.
6022,8207,7	  // -> Rajada de Flechas
6022,8209,3	  // -> Armadilha Escorregadia
6022,8234,1	  // -> Diminuir Agilidade
// Arqueiro Mercenário Level 60-70.
6023,8208,10	// -> Chuva de Flechas
6023,8230,1	  // -> Cura Mental
6023,8212,2	  // -> Armadilha Congelante
// Arqueiro Mercenário Level 70-80.
6024,8223,2	  // -> Rapidez com Arma
6024,8232,3	  // -> Provocar
6024,8211,3	  // -> Armadilha Sonífera
// Arqueiro Mercenário Level 80-90.
6025,8207,10	// -> Rajada de Flechas
6025,8214,1	  // -> Carregar Flechas
6025,8210,5	  // -> Armadilha Atordoante
// Arqueiro Mercenário Level 90-99.
6026,8214,1	  // -> Carregar Flechas
6026,8215,5	  // -> Tiro Preciso
6026,8223,5	  // -> Rapidez com Arma
6026,8233,1	  // -> Instinto de Sobreviência Automático

// Lanceiro Mercenário Level 1-10.
6027,8216,1	  // -> Perfurar
6027,8226,1	  // -> Recompor
// Lanceiro Mercenário Level 10-20.
6028,8217,2	  // -> Brandir Lança
6028,8236,1	  // -> Lex Divina
// Lanceiro Mercenário Level 20-30.
6029,8216,2	  // -> Perfurar
6029,8221,1	  // -> Devoção
6029,8229,1	  // -> Restabelecer
// Lanceiro Mercenário Level 30-40.
6030,8219,1	  // -> Aura Sagrada
6030,8225,4	  // -> Impacto
// Lanceiro Mercenário Level 40-50.
6031,8216,5	  // -> Perfurar
6031,8220,3	  // -> Bloqueio
