//  ________________________________________________________
// /                                                        \
// |       _           _   _   _                            |
// |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
// |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
// |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
// |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
// |                                                        |
// |                    brAthena Script                     |
// |--------------------------------------------------------|
// | Nome do Script: Turbo Track Modo Avançado - 4 Pessoas  |
// |--------------------------------------------------------|
// | Criado por: eA/brA Dev. Team                           |
// |--------------------------------------------------------|
// | Versões eA/brA: 1.3/1.1                                |
// |--------------------------------------------------------|
// | Descrição:                                             |
// | Percurso da Turbo Track: Modo Avançado - 4 Pessoas.    |
// |--------------------------------------------------------|
// | Changelog:               	                            |
// | 1.0 Script Traduzido [Boomer]                          |
// | 1.1 Script Otimizado [Mark]    	                    |
// | - Anotações                                            |
// \________________________________________________________/

turbo_room,110,135,3	duplicate(ChatTrack)	Modo Avançado - 4 Pess	124
turbo_e_4,298,167,3	duplicate(AuxiliarTrack)	Auxiliar#e4_F	124
turbo_e_4,298,167,0	duplicate(AuxiliarPont)	Auxiliar de Pontuação#e4	-1,15,15
turbo_e_4,167,3,0	duplicate(BroadcastTrack)	Broadcast#e4	-1
turbo_e_4,167,3,0	duplicate(MasterTrack)	Master#e4	-1
turbo_e_4,62,379,0	duplicate(nounfTrack)	No_Unfair_Start#e4-1	-1,0,31
turbo_e_4,68,379,5	duplicate(nounfTrack)	No_Unfair_Start#e4-2	-1,5,31

// Turbo Track: (Log Race)
turbo_e_4,118,377,0	duplicate(TurboLogRace)	trap_a#e_4-1	-1,44,1,
turbo_e_4,77,375,0	duplicate(TurboLogRace)	trap_a#e_4-2	-1,3,1
turbo_e_4,82,375,0	duplicate(TurboLogRace)	trap_a#e_4-3	-1,1,1
turbo_e_4,82,372,0	duplicate(TurboLogRace)	trap_a#e_4-4	-1,0,2
turbo_e_4,83,372,0	duplicate(TurboLogRace)	trap_a#e_4-5	-1,0,2
turbo_e_4,97,374,0	duplicate(TurboLogRace)	trap_a#e_4-6	-1,1,2
turbo_e_4,98,374,0	duplicate(TurboLogRace)	trap_a#e_4-7	-1,1,2
turbo_e_4,122,372,0	duplicate(TurboLogRace)	trap_a#e_4-8	-1,2,4
turbo_e_4,125,374,0	duplicate(TurboLogRace)	trap_a#e_4-9	-1,0,4
turbo_e_4,132,374,0	duplicate(TurboLogRace)	trap_a#e_4-10	-1,7,2
turbo_e_4,156,374,0	duplicate(TurboLogRace)	trap_a#e_4-11	-1,6,2
turbo_e_4,163,375,0	duplicate(TurboLogRace)	trap_a#e_4-12	-1,0,3
turbo_e_4,164,377,0	duplicate(TurboLogRace)	trap_a#e_4-13	-1,1,1
// second line
turbo_e_4,76,369,0	duplicate(TurboLogRace)	trap_b#e_4-1	-1,2,2
turbo_e_4,79,369,0	duplicate(TurboLogRace)	trap_b#e_4-2	-1,0,2
turbo_e_4,77,366,0	duplicate(TurboLogRace)	trap_b#e_4-3	-1,3,0
turbo_e_4,85,366,0	duplicate(TurboLogRace)	trap_b#e_4-4	-1,5,1
turbo_e_4,87,363,0	duplicate(TurboLogRace)	trap_b#e_4-5	-1,2,1
turbo_e_4,88,368,0	duplicate(TurboLogRace)	trap_b#e_4-6	-1,2,5
turbo_e_4,92,370,0	duplicate(TurboLogRace)	trap_b#e_4-7	-1,1,3
turbo_e_4,98,368,0	duplicate(TurboLogRace)	trap_b#e_4-8	-1,4,1
turbo_e_4,109,371,0	duplicate(TurboLogRace)	trap_b#e_4-9	-1,7,2
turbo_e_4,110,368,0	duplicate(TurboLogRace)	trap_b#e_4-10	-1,7,0
turbo_e_4,113,366,0	duplicate(TurboLogRace)	trap_b#e_4-11	-1,3,2
turbo_e_4,117,368,0	duplicate(TurboLogRace)	trap_b#e_4-12	-1,0,5
turbo_e_4,123,364,0	duplicate(TurboLogRace)	trap_b#e_4-13	-1,6,1
turbo_e_4,136,368,0	duplicate(TurboLogRace)	trap_b#e_4-14	-1,8,1
turbo_e_4,136,366,0	duplicate(TurboLogRace)	trap_b#e_4-15	-1,8,0
turbo_e_4,144,370,0	duplicate(TurboLogRace)	trap_b#e_4-16	-1,2,3
turbo_e_4,147,370,0	duplicate(TurboLogRace)	trap_b#e_4-17	-1,0,3
turbo_e_4,155,369,0	duplicate(TurboLogRace)	trap_b#e_4-18	-1,7,0
turbo_e_4,155,368,0	duplicate(TurboLogRace)	trap_b#e_4-19	-1,7,0
turbo_e_4,151,367,0	duplicate(TurboLogRace)	trap_b#e_4-20	-1,3,0
turbo_e_4,153,366,0	duplicate(TurboLogRace)	trap_b#e_4-21	-1,1,0
turbo_e_4,155,367,0	duplicate(TurboLogRace)	trap_b#e_4-22	-1,0,1
//third line
turbo_e_4,78,362,0	duplicate(TurboLogRace)	trap_c#e_4-1	-1,4,1
turbo_e_4,78,359,0	duplicate(TurboLogRace)	trap_c#e_4-2	-1,4,1
turbo_e_4,83,362,0	duplicate(TurboLogRace)	trap_c#e_4-3	-1,0,1
turbo_e_4,88,359,0	duplicate(TurboLogRace)	trap_c#e_4-4	-1,5,1
turbo_e_4,89,357,0	duplicate(TurboLogRace)	trap_c#e_4-5	-1,1,1
turbo_e_4,92,390,0	duplicate(TurboLogRace)	trap_c#e_4-6	-1,1,1
turbo_e_4,92,357,0	duplicate(TurboLogRace)	trap_c#e_4-7	-1,1,1
turbo_e_4,98,364,0	duplicate(TurboLogRace)	trap_c#e_4-8	-1,6,1
turbo_e_4,98,362,0	duplicate(TurboLogRace)	trap_c#e_4-9	-1,6,0
turbo_e_4,106,364,0	duplicate(TurboLogRace)	trap_c#e_4-10	-1,2,2
turbo_e_4,107,360,0	duplicate(TurboLogRace)	trap_c#e_4-11	-1,1,2
turbo_e_4,109,360,0	duplicate(TurboLogRace)	trap_c#e_4-12	-1,0,2
turbo_e_4,112,361,0	duplicate(TurboLogRace)	trap_c#e_4-13	-1,3,1
turbo_e_4,116,359,0	duplicate(TurboLogRace)	trap_c#e_4-14	-1,0,2
turbo_e_4,117,359,0	duplicate(TurboLogRace)	trap_c#e_4-15	-1,0,2
turbo_e_4,116,356,0	duplicate(TurboLogRace)	trap_c#e_4-16	-1,0,2
turbo_e_4,117,356,0	duplicate(TurboLogRace)	trap_c#e_4-17	-1,0,2
turbo_e_4,129,360,0	duplicate(TurboLogRace)	trap_c#e_4-18	-1,12,1
turbo_e_4,129,358,0	duplicate(TurboLogRace)	trap_c#e_4-19	-1,12,0
turbo_e_4,132,357,0	duplicate(TurboLogRace)	trap_c#e_4-20	-1,2,1
turbo_e_4,137,357,0	duplicate(TurboLogRace)	trap_c#e_4-21	-1,2,1
turbo_e_4,147,363,0	duplicate(TurboLogRace)	trap_c#e_4-22	-1,16,1
turbo_e_4,149,365,0	duplicate(TurboLogRace)	trap_c#e_4-23	-1,1,0
turbo_e_4,158,362,0	duplicate(TurboLogRace)	trap_c#e_4-24	-1,1,4
turbo_e_4,154,360,0	duplicate(TurboLogRace)	trap_c#e_4-25	-1,2,2
turbo_e_4,161,360,0	duplicate(TurboLogRace)	trap_c#e_4-26	-1,1,2
