//  ________________________________________________________
// /                                                        \
// |       _           _   _   _                            |
// |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
// |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
// |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
// |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
// |                                                        |
// |                    brAthena Script                     |
// |--------------------------------------------------------|
// | Nome do Script: Falicious Okolnir - Nidhoggr 4         |
// |--------------------------------------------------------|
// | Criado por: eA/brA Dev. Team                           |
// |--------------------------------------------------------|
// | Versões eA/brA: 1.3/1.0                                |
// |--------------------------------------------------------|
// | Descrição: God Item SE Creation scipt (Brynhild)       |
// |--------------------------------------------------------|
// | Changelog:               	                            |
// | 1.0 Script Traduzido e Otimizado [Mark]                |
// | - Anotações                                            |
// \________________________________________________________/

schg_cas04,376,307,3	duplicate(guiaSE)	Guia#schg_cas04	899

que_qsch04,345,23,0	warp	Gate02#gq_sch04	1,1,schg_cas04,369,306

que_qsch04,345,82,3	duplicate(WishSE)	Dama dos Desejos#schg_cas04	403

que_qsch04,346,81,0	duplicate(Gate01SE)	Gate01#schg_cas04	45,1,1

que_qsch04,1,4,0	duplicate(Gate_Manag_SE)	#Gate_manager_sch04	844

que_qsch04,1,4,0	duplicate(GateMob2)	#gq_miromob2_sch04	844

que_qsch04,1,1,0	duplicate(okolnir_SE)	#okolnir_sch04	844

que_qsch04,1,2,0	duplicate(mazemanag_SE)	#Maze_Manager_sch04	844

que_qsch04,2,1,0	duplicate(MirobfSE)	#miro_bf_sch04	844

que_qsch04,2,2,0	duplicate(MirorfSE)	#miro_rf_sch04	844

que_qsch04,2,3,0	duplicate(MiroyfSE)	#miro_yf_sch04	844

que_qsch04,132,172,0	duplicate(wind01SE)	windpath01_sch04	45,1,1

que_qsch04,113,165,0	warp	windpath02_sch04	1,1,que_qsch04,139,172

que_qsch04,131,136,3	duplicate(PiametSE)	Piamette#schg_cas04	1930

que_qsch04,114,158,0	duplicate(eventstartSE)	#event_start1_sch04	-1,1,1

que_qsch04,2,2,0	duplicate(gdtimer01SE)	#gdtimer1_sch04	844

que_qsch04,2,3,0	duplicate(gdtimer02SE)	#gdtimer2_sch04	844

que_qsch04,1,4,0	duplicate(piametteSE)	#piamette_sch04	844

que_qsch04,113,135,0	duplicate(getspellSE)	#getspell1_sch04	-1,1,1
que_qsch04,146,150,0	duplicate(getspellSE)	#getspell2_sch04	-1,1,1
que_qsch04,131,117,0	duplicate(getspellSE)	#getspell3_sch04	-1,1,1
que_qsch04,117,150,0	duplicate(getspellSE)	#getspell4_sch04	-1,1,1
que_qsch04,150,135,0	duplicate(getspellSE)	#getspell5_sch04	-1,1,1
que_qsch04,117,121,0	duplicate(getspellSE)	#getspell6_sch04	-1,1,1
que_qsch04,131,154,0	duplicate(getspellSE)	#getspell7_sch04	-1,1,1
que_qsch04,146,121,0	duplicate(getspellSE)	#getspell8_sch04	-1,1,1

que_qsch04,103,153,0	duplicate(cageSE)	#sch04_cage1	-1,1,1
