//  ________________________________________________________
// /                                                        \
// |       _           _   _   _                            |
// |      | |__  _ __ / \ | |_| |__   ___ _ __   __ _       |
// |      | '_ \| '__/ _ \| __| '_ \ / _ \ '_ \ / _` |      |
// |      | |_) | | / ___ \ |_| | | |  __/ | | | (_| |      |
// |      |_.__/|_|/_/   \_\__|_| |_|\___|_| |_|\__,_|      |
// |                                                        |
// |                    brAthena Script                     |
// |--------------------------------------------------------|
// | Nome do Script: Falicious Okolnir - Valfreja 5         |
// |--------------------------------------------------------|
// | Criado por: eA/brA Dev. Team                           |
// |--------------------------------------------------------|
// | Versões eA/brA: 1.3/1.0                                |
// |--------------------------------------------------------|
// | Descrição: God Item SE Creation scipt (Asprika)        |
// |--------------------------------------------------------|
// | Changelog:               	                            |
// | 1.0 Script Traduzido e Otimizado [Mark]                |
// | - Anotações                                            |
// \________________________________________________________/

arug_cas05,324,161,3	duplicate(guiaSE)	Guia#arug_cas05	899

que_qaru05,345,23,0	warp	Gate02#gq_aru05	1,1,arug_cas05,321,153

que_qaru05,345,82,3	duplicate(WishSE)	Dama dos Desejos#arug_cas05	403

que_qaru05,346,81,0	duplicate(Gate01SE)	Gate01#arug_cas05	45,1,1

que_qaru05,1,4,0	duplicate(Gate_Manag_SE)	#Gate_manager_aru05	844

que_qaru05,1,4,0	duplicate(GateMob2)	#gq_miromob2_aru05	844

que_qaru05,1,1,0	duplicate(okolnir_SE)	#okolnir_aru05	844

que_qaru05,1,2,0	duplicate(mazemanag_SE)	#Maze_Manager_aru05	844

que_qaru05,2,1,0	duplicate(MirobfSE)	#miro_bf_aru05	844

que_qaru05,2,2,0	duplicate(MirorfSE)	#miro_rf_aru05	844

que_qaru05,2,3,0	duplicate(MiroyfSE)	#miro_yf_aru05	844

que_qaru05,132,172,0	duplicate(wind01SE)	windpath01_aru05	45,1,1

que_qaru05,113,165,0	warp	windpath02_aru05	1,1,que_qaru05,139,172

que_qaru05,131,136,3	duplicate(PiametSE)	Piamette#arug_cas05	1930

que_qaru05,114,158,0	duplicate(eventstartSE)	#event_start1_aru05	-1,1,1

que_qaru05,2,2,0	duplicate(gdtimer01SE)	#gdtimer1_aru05	844

que_qaru05,2,3,0	duplicate(gdtimer02SE)	#gdtimer2_aru05	844

que_qaru05,1,4,0	duplicate(piametteSE)	#piamette_aru05	844

que_qaru05,113,135,0	duplicate(getspellSE)	#getspell1_aru05	-1,1,1
que_qaru05,146,150,0	duplicate(getspellSE)	#getspell2_aru05	-1,1,1
que_qaru05,131,117,0	duplicate(getspellSE)	#getspell3_aru05	-1,1,1
que_qaru05,117,150,0	duplicate(getspellSE)	#getspell4_aru05	-1,1,1
que_qaru05,150,135,0	duplicate(getspellSE)	#getspell5_aru05	-1,1,1
